order_id,order_date,customer_id,product_id,quantity,unit_price,discount,region,channel
ORD000001,2024-11-05,CUS00069,PRD0018,27,930.75,0.1,North,Wholesale
ORD000002,2025-09-13,CUS00126,PRD0047,38,84.14,0.2,South,Direct
ORD000003,2025-01-17,CUS00097,PRD0035,22,672.01,0.2,West,Wholesale
ORD000004,2024-02-24,CUS00060,PRD0013,16,1219.39,0.2,West,Online
ORD000005,2024-03-01,CUS00170,PRD0021,46,714.26,0.15,South,Direct
ORD000006,2022-07-25,CUS00113,PRD0003,38,28.28,0.1,North,Direct
ORD000007,2022-06-03,CUS00121,PRD0001,27,795.92,0.05,East,Wholesale
ORD000008,2023-11-04,CUS00173,PRD0040,42,136.32,0,Central,Direct
ORD000009,2025-01-13,CUS00010,PRD0021,49,663.77,0.15,Central,Online
ORD000010,2022-07-05,CUS00112,PRD0016,19,544.33,0.05,North,Online
ORD000011,2022-04-05,CUS00084,PRD0029,20,85.29,0,North,Wholesale
ORD000012,2024-12-23,CUS00106,PRD0023,10,758.3,0.05,Central,Retail
ORD000013,2025-06-23,CUS00175,PRD0011,40,593.25,0.15,South,Direct
ORD000014,2024-07-30,CUS00066,PRD0038,30,644.25,0.1,North,Direct
ORD000015,2024-06-23,CUS00089,PRD0019,11,839.64,0,Central,Wholesale
ORD000016,2024-07-24,CUS00078,PRD0041,45,37.76,0.1,South,Direct
ORD000017,2024-01-06,CUS00148,PRD0031,25,583.53,0.2,East,Wholesale
ORD000018,2023-07-17,CUS00003,PRD0002,43,913.28,0.15,Central,Online
ORD000019,2025-05-28,CUS00091,PRD0039,19,1079.16,0.05,South,Retail
ORD000020,2025-07-10,CUS00025,PRD0040,49,99.03,0.05,North,Wholesale
ORD000021,2022-07-04,CUS00076,PRD0029,24,74.88,0.05,East,Direct
ORD000022,2024-12-23,CUS00129,PRD0012,35,516.86,0.1,East,Retail
ORD000023,2023-11-25,CUS00030,PRD0017,31,460.53,0.1,West,Online
ORD000024,2025-02-15,CUS00094,PRD0010,15,1061.18,0.15,North,Direct
ORD000025,2024-01-25,CUS00173,PRD0001,8,574.4,0.15,East,Direct
ORD000026,2024-08-23,CUS00007,PRD0041,7,37.33,0.05,Central,Wholesale
ORD000027,2025-12-06,CUS00078,PRD0040,5,96.56,0.15,West,Online
ORD000028,,CUS00030,PRD0009,3,382.52,0.1,North,Retail
ORD000029,2025-10-05,CUS00191,PRD0035,30,505.52,0.1,Central,Direct
ORD000030,2025-09-03,CUS00026,PRD0038,10,1006.29,0.15,West,Direct
ORD000031,2024-06-27,CUS00114,PRD0018,24,524.61,0.05,South,Wholesale
ORD000032,2025-08-13,CUS00092,PRD0007,24,352.84,0.2,North,Direct
ORD000033,2022-07-07,CUS00170,PRD0018,8,610.83,0.15,South,Online
ORD000034,2025-03-02,CUS00053,PRD0004,16,567.16,0.05,North,Retail
ORD000035,2022-10-30,CUS00153,PRD0038,15,688.26,0.1,North,Wholesale
ORD000036,2022-12-24,CUS00029,PRD0010,35,1208.83,0.1,North,Retail
ORD000037,2023-10-26,CUS00005,PRD0001,16,619.76,0.2,South,Wholesale
ORD000038,2022-08-21,CUS00191,PRD0004,27,348.23,0.2,North,Direct
ORD000039,2022-08-12,CUS00116,PRD0029,33,133.17,0.2,Central,Retail
ORD000040,2023-09-10,CUS00118,PRD0040,43,81.54,0.2,North,Online
ORD000041,2024-10-01,CUS00183,PRD0031,28,1003.24,0,West,Online
ORD000042,2022-09-16,CUS00071,PRD0006,10,616.11,0,Central,Wholesale
ORD000043,2024-07-18,CUS00130,PRD0025,34,945.13,0.1,Central,Direct
ORD000044,2023-03-17,CUS00111,PRD0007,8,318.03,0.2,West,Retail
ORD000045,2024-05-01,CUS00187,PRD0027,30,318.11,0.15,North,Wholesale
ORD000046,2022-11-09,CUS00176,PRD0028,17,548.93,0.1,West,Online
ORD000047,2022-07-17,CUS00191,PRD0006,6,868.29,0.15,East,Retail
ORD000048,2023-11-07,CUS00172,PRD0036,36,423.75,0.2,North,Direct
ORD000049,2022-04-16,CUS00074,PRD0023,49,1049.71,0.15,Central,Wholesale
ORD000050,2022-11-13,CUS00169,PRD0023,33,599.83,0.05,West,Retail
ORD000051,2022-08-24,CUS00196,PRD0007,36,235.94,0.1,East,Retail
ORD000052,2025-06-10,CUS00173,PRD0028,50,785.56,0.2,Central,Online
ORD000053,2022-03-01,CUS00047,PRD0039,45,1198.13,0.1,East,Wholesale
ORD000054,2025-03-05,CUS00169,PRD0022,12,225.46,0.05,West,Online
ORD000055,2024-12-22,CUS00056,PRD0010,2,1052.84,0,West,Direct
ORD000056,2023-10-27,CUS00199,PRD0030,24,10.86,0.1,Central,Online
ORD000057,,CUS00173,PRD0004,49,357.79,0.2,North,Wholesale
ORD000058,2024-06-24,CUS00107,PRD0029,32,124.08,0.2,East,Retail
ORD000059,2022-08-16,CUS00073,PRD0049,23,381.23,0.15,Central,Direct
ORD000060,2024-03-20,CUS00154,PRD0034,3,255.37,0.05,North,Online
ORD000061,2023-06-08,CUS00075,PRD0014,14,227.0,0.05,East,Online
ORD000062,2022-09-22,CUS00098,PRD0001,28,687.06,0.05,Central,Retail
ORD000063,2022-05-28,CUS00102,PRD0033,43,475.54,0.1,North,Direct
ORD000064,2025-03-25,CUS00110,PRD0002,5,664.33,0.1,Central,Direct
ORD000065,2024-04-09,CUS00006,PRD0046,19,799.44,0,East,Retail
ORD000066,2022-06-30,CUS00112,PRD0040,45,116.7,0.1,North,Retail
ORD000067,2024-03-21,CUS00080,PRD0028,34,671.7,0,East,Retail
ORD000068,2025-07-20,CUS00030,PRD0022,5,301.21,0.2,Central,Retail
ORD000069,2023-04-29,CUS00027,PRD0050,47,165.15,0.05,South,Wholesale
ORD000070,2022-12-29,CUS00198,PRD0013,10,702.34,0,West,Direct
ORD000071,2025-10-26,CUS00145,PRD0049,38,394.88,0.15,Central,Wholesale
ORD000072,2024-08-18,CUS00114,PRD0041,29,24.83,0,East,Wholesale
ORD000073,2023-09-28,CUS00119,PRD0038,33,591.71,0,West,Online
ORD000074,2025-08-13,CUS00024,PRD0004,19,428.49,0,Central,Direct
ORD000075,2024-07-10,CUS00147,PRD0030,48,12.92,0,South,Wholesale
ORD000076,2024-07-11,CUS00027,PRD0039,10,904.79,0,East,Online
ORD000077,2025-12-20,CUS00113,PRD0033,3,503.59,0.05,West,Retail
ORD000078,2024-04-17,CUS00199,PRD0024,19,840.13,0.15,East,Online
ORD000079,2022-07-13,CUS00143,PRD0041,5,31.46,0.1,West,Wholesale
ORD000080,2022-11-04,CUS00086,PRD0017,43,412.82,0.2,North,Retail
ORD000081,2022-09-22,CUS00153,PRD0023,42,720.56,0.15,North,Wholesale
ORD000082,2025-10-04,CUS00180,PRD0036,22,560.27,0.05,Central,Online
ORD000083,2022-02-07,CUS00093,PRD0042,33,-99.99,0.1,East,Retail
ORD000084,2023-01-29,CUS00058,PRD0014,50,234.47,0.15,South,Retail
ORD000085,2025-01-10,CUS00190,PRD0005,7,180.83,0.2,Central,Online
ORD000086,2022-09-26,CUS00153,PRD0043,50,742.22,0.2,West,Retail
